subject,metric,feature_type,i_idx,j_idx,i_label,j_label,cv,kl
2,PLI,edges,2,13.0,F7,P3,0.750860549002693,0.9218769780628089
2,PLI,edges,3,12.0,F3,P7,0.7389292059902324,0.5589476145493772
2,PLI,edges,4,6.0,Fz,F8,0.7602237564878217,0.6938181594649369
2,PLI,edges,5,9.0,F4,Cz,0.7375289385462054,0.9804374118869841
2,PLI,edges,7,9.0,T7,Cz,0.7040075489264526,1.0624450926667035
2,PLI,edges,7,12.0,T7,P7,0.6779624683361871,0.64385170667951
2,PLI,edges,7,18.0,T7,O2,0.750778677813412,0.5534604945449044
2,PLI,edges,9,11.0,Cz,T8,0.7510565072043823,0.5637799593696265
2,PLI,edges,10,11.0,C4,T8,0.7123933087887042,0.6505424228559993
2,PLI,edges,13,14.0,P3,Pz,0.6723427181824744,0.5498286070321765
2,PLI,ns,7,,T7,,0.3704052773069644,0.8131246422690092
2,PLI,ns,8,,C3,,0.34063203190940894,0.9686040618788959
5,PLI,edges,0,9.0,FP1,Cz,0.7263357772760104,1.6956442955752429
5,PLI,edges,0,11.0,FP1,T8,0.7520023966306604,0.818763774150845
5,PLI,edges,1,3.0,FP2,F3,0.6916564681045354,1.167368321689149
5,PLI,edges,1,6.0,FP2,F8,0.7382867815200191,1.2428958254217672
5,PLI,edges,1,7.0,FP2,T7,0.7426390114015475,0.9384947019394401
5,PLI,edges,2,8.0,F7,C3,0.7423967768537159,0.9531794029024236
5,PLI,edges,3,6.0,F3,F8,0.749281265570797,1.1301387864274792
5,PLI,edges,3,8.0,F3,C3,0.743047760688688,0.7735027996657913
5,PLI,edges,3,14.0,F3,Pz,0.7232073112537228,1.1145448672208822
5,PLI,edges,3,15.0,F3,P4,0.74714721882554,0.8057644392531313
5,PLI,edges,4,6.0,Fz,F8,0.7135636821708362,1.1443665998076176
5,PLI,edges,4,10.0,Fz,C4,0.7329932221203788,1.1361981462455784
5,PLI,edges,4,12.0,Fz,P7,0.7338267237947016,0.9187117339507558
5,PLI,edges,4,15.0,Fz,P4,0.7450608592248016,0.8475692859674427
5,PLI,edges,8,14.0,C3,Pz,0.7111291094360345,0.9721491512967955
5,PLI,edges,10,14.0,C4,Pz,0.7584877729076096,0.7642288598463173
5,PLI,edges,13,14.0,P3,Pz,0.7483112746096483,1.3174335230505072
5,PLI,ns,3,,F3,,0.4102815910373365,0.7109038008395241
5,PLI,ns,10,,C4,,0.4138076684456262,0.6787212350750846
9,PLI,edges,0,3.0,FP1,F3,0.7067471322475234,1.0971265612930092
9,PLI,edges,1,13.0,FP2,P3,0.7105429868464936,0.7649600935223441
9,PLI,edges,3,9.0,F3,Cz,0.7172057274881465,1.0124686132390335
9,PLI,edges,3,12.0,F3,P7,0.681547233670349,0.8591248494625652
9,PLI,edges,3,14.0,F3,Pz,0.7209901171709858,0.7224521722180451
9,PLI,edges,3,17.0,F3,O1,0.6760846603408069,1.2303342414278906
9,PLI,edges,4,7.0,Fz,T7,0.7228120717126783,1.0553691134953114
9,PLI,edges,4,17.0,Fz,O1,0.6800922325009879,0.7527400228684473
9,PLI,edges,5,12.0,F4,P7,0.6740567547484345,1.015646433147728
9,PLI,edges,6,18.0,F8,O2,0.6989726371609237,0.9311500599367811
9,PLI,edges,8,10.0,C3,C4,0.7029853059729165,1.1791626051793522
9,PLI,edges,8,12.0,C3,P7,0.682871378011032,1.248064236362753
9,PLI,edges,8,13.0,C3,P3,0.7049585549084235,0.9527629561121764
9,PLI,edges,9,12.0,Cz,P7,0.7149719510785324,0.8828753052253755
9,PLI,edges,9,15.0,Cz,P4,0.6615405508083452,0.7171329563838683
9,PLI,edges,9,18.0,Cz,O2,0.644783090754453,0.7397517211050852
9,PLI,edges,12,17.0,P7,O1,0.7082376311354588,0.896488664929594
9,PLI,ns,9,,Cz,,0.3184019368943526,0.5589609907254887
21,PLI,edges,0,4.0,FP1,Fz,0.7026057415603002,0.773986865556999
