subject,metric,feature_type,n_features_valid,stability_percentile,kl_percentile,stable_count,highKL_count,stable_and_highKL_count,mean_cv_edges,mean_cv_ns,mean_kl_edges,mean_kl_ns,cv,kl,frac_sd,rank_frac_sd,rank_kl,rank_cv,borda_score_subject,subject_rank
21,MSC,ns,19,30.0,70.0,6,6,2,0.1795350277926273,0.1172367704094994,0.6565759956293356,0.4801223624410885,0.1172367704094994,0.4801223624410885,0.10526315789473684,4.0,8.0,2.0,14.0,3.0
31,MSC,edges,171,30.0,70.0,52,52,18,0.23566032235660178,0.1813918535509153,0.42334832921424326,0.38522028434631067,0.23566032235660178,0.42334832921424326,0.10526315789473684,1.0,9.0,3.0,13.0,2.0
31,MSC,ns,19,30.0,70.0,6,6,2,0.23566032235660178,0.1813918535509153,0.42334832921424326,0.38522028434631067,0.1813918535509153,0.38522028434631067,0.10526315789473684,5.0,9.0,3.0,17.0,7.0
34,MSC,edges,171,30.0,70.0,52,52,11,0.21136363162646704,0.12772555686898224,0.6792718125591662,0.856472153781682,0.21136363162646704,0.6792718125591662,0.06432748538011696,9.0,1.0,1.0,11.0,2.0
34,MSC,ns,19,30.0,70.0,6,6,3,0.21136363162646704,0.12772555686898224,0.6792718125591662,0.856472153781682,0.12772555686898224,0.856472153781682,0.15789473684210525,1.0,1.0,2.0,4.0,1.0
39,MSC,edges,171,30.0,70.0,52,52,16,0.20482258029027411,0.11601951816767125,0.7880198201096235,0.8385725825083366,0.20482258029027411,0.7880198201096235,0.0935672514619883,2.0,3.0,1.0,6.0,1.0
39,MSC,ns,19,30.0,70.0,6,6,3,0.20482258029027411,0.11601951816767125,0.7880198201096235,0.8385725825083366,0.11601951816767125,0.8385725825083366,0.15789473684210525,1.0,3.0,3.0,7.0,3.0
1,CMI,edges,171,30.0,70.0,52,52,20,0.44155337341349576,0.37867871510986595,0.3174999564075466,0.2650919567551006,0.44155337341349576,0.3174999564075466,0.11695906432748537,4.0,9.0,4.0,17.0,6.0
1,CMI,ns,19,30.0,70.0,6,6,5,0.44155337341349576,0.37867871510986595,0.3174999564075466,0.2650919567551006,0.37867871510986595,0.2650919567551006,0.2631578947368421,1.0,8.0,4.0,13.0,3.0
2,CMI,edges,171,30.0,70.0,52,52,17,0.5103382568909756,0.40134288917550304,0.5701470248773748,0.6443515889888219,0.5103382568909756,0.5701470248773748,0.09941520467836257,3.0,1.0,4.0,8.0,2.0
2,CMI,ns,19,30.0,70.0,6,6,4,0.5103382568909756,0.40134288917550304,0.5701470248773748,0.6443515889888219,0.40134288917550304,0.6443515889888219,0.21052631578947367,1.0,2.0,4.0,7.0,1.0
5,CMI,edges,171,30.0,70.0,52,52,13,0.36074413538151107,0.2971146022191635,0.7370014535229125,0.7313421598681584,0.36074413538151107,0.7370014535229125,0.07602339181286549,5.0,1.0,4.0,10.0,2.0
